order_id,products
2490509,
2621582,
2883729,9623
1143509,
3145875,
1835156,21137 37687 22362 6087
262293,46496 46041 26348 33651 40354 29660 20384 40113 33479 24604 25203
2359447,
3145880,
3408026,
655515,196 13176 17122 38928 46149 6184 46061 21572 11451
1835164,13176 24852 27966 30489 47209 21137 21903 40604 48679 4920 8277 11520 2078 24838 44359 47626 22935 27086 16759 8174 44560 21009 36082 6615 17027 49192
3145885,21769
917667,21386 432 18394 9411 38944 29388 27985 1542 27148
262308,24852 11782 20632 43086 13966 5479 19348 13646
1376284,13535 49247
917676,13176 5450 7781 27966 30489 45066 47209 21903 42265 49683 8518 40706 8277 26209 9839 5876 41950 24830 24489 10749 47734 5785 41757 16617 25705 11303 31562 1039 46206 19731
524461,5450 24852 31683 22959 44799 30406 36086 116 23909 22524 22610 14882 20955 6901 18339 16066 37215 47242 13920 10084 3040 16436 44980 49614 10623 15777 16647 45186 38054 32440 31672 12630 33073 25793 11842
786606,13176 19057 24852 43961 30305 44359 34234 16759 3800 22624
262173,19057 24852 47766 45007 11520 18465 5479 28476 49520 7412 31612 48238
524465,35948
1704114,17469
262323,
1114142,33198 3624
182,35951 47209 21903 30391 39275 13629 27104 34243 47672 5479 33000 41149 9337 30007
1202855,21137 21903 8518 27521 45007 24184 47626 22935 5991 28601 6873 33768 18434 13031 2954 22677 5764 31614
3014845,35951 41787 5322 5450 16797 24852 37646 47209 21137 13870 43352 46969 4799 17794 24838 42736 23765 44359 5876 34243 5618 38312 35633 45123 5479 24518 35108 24024 2855 35782 39408 17284 20339 45 48220 11737 10753 43643 24957 10761 33527 16882 18625 31766 39194 3661 40469
3276991,15693 24896
2752704,13032 36316 47977 9623 48015 8859 6901 49079 29015 31759 9007 32235 13944 21225 44189
2228417,
1310914,26209 5077 43154 19805 36431 49496 5262 9708 46932 19643
284566,13176 21903 46802 8953
808310,5450 21709 24852 45066 44632 5876 35221 8174 5161 40396 16757 9623 6933 17429 41597
131270,1560
1441825,13176 5646 28204 30962 23543 19660 17878
2752715,
1502223,24852 28745 11140 48894 22760
2097358,24852 28204 14233 12285 15976 9755 44085
1551053,40939 18443
3277008,21137 13870 39275 16349 38456 4210 43086 46667 27548 46572 16249 26131 47029 42686 44096 7338 45866 5115 19875 27502 13776 44488
742776,27307 34230 46347 352
1573074,21903 11068 8277 6631 40545 25705
1310931,42828 37687 8230 33572 27729 11352 14233 16254 16953 11576 23044 24489 37852 17902 23554 17789 11199 47169 11786 48642 22198 43194 5764 32685 22915 32635 24041 33381 38698 38033 8773
1179863,44632 35221
1310936,4942 8881
2228441,
1442010,24852 32465 39032
2992847,22825 22963 24852 47209 47766 21137 21903 42265 4920 31343 41844 43875 15290 47626 17706 44632 48364 5077 6348 15902 28204 27845 2966 21783 49628 37029 1104 13076 5959 48057 3020 45866 19711 40554
131292,21405
655586,
2577787,
3277028,
1966309,24852 43875 45045 22788 28911 33845 3856 31573 20561 34745 6852
1616593,45066 47766 21903 21616 24184 31506 37687 38456 42585 22935 21405 24964 4605 5479 15950 22089 34335 30881 36322 42001 17027 23534 5619
1704168,33000
608934,13176 4920 31720
2880591,27966 47209 47766 21903 8518 10749 32230
3014891,5450 45066 47626 31371
1442028,24852 47766 46654
1573103,196 19660
1442033,
1442035,
2490612,31964
3074507,44632 2120 31113
2218384,
39289,49235
257,49235 24852 47766 27104 38693 45013
1179909,49235 8193 12889
786694,27845 33043
1966343,
2752776,
2490633,
1845831,258 30591 46692 33129 6448 6846 39032 43460 10252 12805 33658 13698 31667 10914 22161 43934
262411,20940
262413,28985 35221
1704206,21903 4149
1863659,
1026776,
1442066,33065 41539 43390 13809
2883859,24852
3014932,39877 24838 25931 21386 35547 8859 13292 24363 32742
1310997,11182
3146007,13176 21137 44359 6740 20015 30745
1311001,24852 47209 5785
786714,24852
1179932,
3014943,
917792,13176 47766 21137 21903 19678 1376 44781 37158 39475 20327 22298 44765 6532 162
524577,32177 34126 46526
1311011,
524582,49683 27845
3277096,19057 24852 47766 21137 27521 23765 5077 4793
393513,39276 46946
393515,46088
1900594,
1573166,27845 23047
1179952,24852 18382 32691 27548 27845 46906 5479 13113 37594 34335
262451,24184 41950 27845 4713 30597 14005
917812,43352 9076 33000
2621749,45437 20842 18339 3274
3146038,13176 9124 27966 21137 42803 13740 38777 44910 14947 44632 27086 35221 2452 24964 38689 32864 26620 12576 23472 49518 5785 11005 48104 30233 38827 34622 37158 39947 45747 43442
313,21903 49683 45007 13198 26209 16349 46906 25890 12779 14077
524602,26604 39275 31678 11983 3479 3526 4674 4895 15483 47842 1154 19078 39618 34519
2075359,27966 21137 26604 39275 19548 32429 11315
3146045,13176 27966 39877 47209 21903 26604 48679 26209 30391 24838 44359 8230 38164 44422 17948 45603 48559 32655 5073 30776 36929 37067 46802 18027 36550 8174 5785 33636 17830 22721 22220 7598 17123 32935 9583 40826 18224 5598
2359617,42460 16257 17316
3146051,41787 24852 21137 47626 27086 1940 2447 28427 39428
786756,16797 24852
1311045,13249 31683 47626 9405 18027 46346 28590
1573190,7898 20851 35272 31148 21141
917831,13176 16797 32478 32689 12341 8048
1966408,16797 21137 35887 13575 16953 31651 17207 26900 19828
3298700,24852 21137 37917
1048631,13176 6184 12341 31805 46931 8571
2265197,45948
1966416,
636345,16797 24852 17600 260 5646 42585 27845 36011 15995 33120 21791
786773,
1835350,21709 24852 45066 39275 47626 4942 40174
2359641,5785 39680
1048922,11983 4879 39618
2097501,39928 26209 37317
353,
3146083,24010 28289 43295 24830 25466 5463 19660 37019 28066 23385 47848 38750 2545 39958 39448 1476 35988 36234 16001 8733 25231 16773 1096 4935 26368
2730726,45066 27156 25931 16145 28590
677265,
917864,
2752873,
3408239,13176 21386 23288 12341 17924 130 907 10473 8843 47404
3103186,24852 4920 5077 12817 24615 9741 40236 47357 43638 41729 13077 43523 33072 47368 41019
393585,
1048946,49235 24852 27845 5612 48186
1573235,5782
2883958,16797 24852
655735,
2490744,2974 27726 40910 277 8475 34483 18595 14709
3360693,
2621818,19057 45948 47766 47388
2588173,41787 22825 24852 9387 21903 40604 49683 40706 48775 8424 48679 8193 15937 23165 28985 16185 24799 28465 42585 22935 5618 24830 28204 45603 24964 46906 3481 4605 20114 32689 37220 49248 2314 21938 29987 28849 2295 41544 31467 40516 31915 45646 6740 16848 23236 40593 35535 48595 6104 49 9825 38249 46505 47890 48057 28934 37892 14764 30122 44075 46294 27900 47059 11987 28537
3015039,35221 4987 34295 1824 7304 502 42122
2097536,
1180033,16797 5388
386,30450 22124 24852 45066 47766 42265 4920 15872 39180 33352 21479 40759 38281
2359683,49235 24852 21903 47912 35221 11512 35503 17803
2490756,260 47788 5785 31720 40516 34249 24834 19125 25573
2577814,24852 47144 21903 47626 34243 25890
131462,22124 24852 24954 39928 40571 45066 8277 9839 17794 3481 31737 10025 16747 12898
3146120,13176 21195 44371 11885
3277193,24852 26209 8193 24964 4605 20114 38689 41259 21938 25890 28849 7622 39180 19068
2643351,28985 18908 35561 39276 29869 48517 16274
262543,21150 32139 45066 47766 5134 48785 45788 34942 16773
3015056,48523 12341
2905496,24852 27966 30489 37646 47209 21137 42265 39275 4799 36865 4210 10312 38689 46802 2228 43122 5959 37335 25197 47253
3277204,43352 30827
1835413,49683 26209 4210 5025 44142 17008 23734 28634 39993 10957 27548 5258 26384 29487 40516 40332 18418 41277 30659 38003 15945 47931 48071 45194 30958 49082 49281 49007 38050 1543 4515 47268 17798 28758 39834 45489 28835
131478,45066 1463
393625,12140
2883994,49235 42265
2228637,25133 24852 40571 21137 21903 24810 42265 38293 43352 36865 33731 12341 43662 23029 39180 30233 38383 28946 42091 12464
414,21709 14947 27845 33198 21230 20392 20564 9755 31730
262559,7781 48210 29993 5876 22935 15872 27548 20114 36144 45104 29675 8174 8590 44560 3464 39982 24221 43945 22312 12397 7338 15923 30340 34991 46059 38510 35628 26698 16260 6235 1688 32156 6835 38750 6238 1744 38747 47699 46635 37241 27398 16417 12784 44972 2961 48893
524705,13176 45066 21903 28204 30962 2361
418,47766
1442211,23233 46692 7156
3408294,1398
524711,19871 21349 29309 34995
3364252,13176 6361 26209 47626 5479 19660 17316
394725,13176 35951 40723 26131 8490 9138 23630 2269 41340
1704363,44632 1940
675309,47209 22035 16185 11422 37807
262574,47144 47209
917938,24852 27344 37646 22035 11520 27086 27845 8615 18362 28226 45445 13798 4473
2228659,17122 16797 24852 28199 22520 23909 19348 27360 5819 48527 14159 33357 6201 29198 8070 49279 27191 11432
1049012,14947
437,49235 27966 45106 29447 365 4589 22990
3277240,44156 3696 42598 32650 38060
786874,16797 21903 46061 19660 17902 21292
1180091,24852 21137 23650 19660 47658
196874,13176 21292 8571
262590,19057 21709 22963 24852 21137 31343 17600 38777 2966 24518 1158 23233 21009 30233 1463 21614 29447 42719 22969 35233 49621 12343
502517,
655808,13176 24852 47209 21137 42265 49683 24184 47626 40723 18288 24489 148 11109 19706
917953,26209
2621891,35951 47766 21903 5876 9076 26384
1966532,13176 19057 16464 24721 1463 41360 45866 43631 28439 45544 24241 3413 2835 10303
655814,4137
1966535,10851 39031
1049032,
2752970,43295 34969 41273 14999 1700 41433
2752971,
2119074,24852
1442255,16797 15290 13544 43768 8536 16683 2160
2861816,4605
131540,24852 27966 47209 21137 49683 24184 46979 6873 432 38383
1049045,24852
2228694,
1959915,45763
1704409,
474,
1638479,13176 22825 24535 45007 16349 42736 12797 27435 20082 6336 13627 48423 7308 14872 22587
1682170,24852 22959 47516 20682 45492 37144
1704415,49235 21137 21903 24964 32655 37067 25588 14467 5785 46820 11712 13113 42817 42411
2359776,24852 39448 49416 10896
1863666,
3408354,5212 24852 47209 41861
655843,37460
2097637,30776
2884072,21903 33000 8571 4724
3058428,24852 27966 47209 21903 40604 49683 26209 44632 1025 35939 15700
1398183,18656 36070 42585 39108 21316 19368 38279
2359788,24852 23375 29447
393710,35383
696576,22963 24852 27966 47766 21903 8277 17794 28985 44910 47626 14947 27845 35921 46260 39529 43122 18352 19821 29691 13500 9528
655856,35523
497,31964 39947
524787,6347
1049078,27521 27104 44142
1311223,
2359803,
1442300,30489 4462 2552
655870,47209 6182 46654 4932 34044
1049088,38277 14947 30776 4138 26620 6656 47993 6317 28656 4294 1354
513,
262658,
517,24852 37646 9387 14992 21903 49683 8424 13198 25890 44560 46584 41593 26283 13819
1180166,
1966599,4462 46906 21775 48720
3364268,
786954,
1311243,33957 49683 37687 47626 31883 36127 40396 44926
2753036,24852 10753 9558
524814,43352 12341 33000 27796 8571 23985 1729
262673,3763
305923,13176 20955 17207 32679
655893,196 17924 30591 8617
655894,24852 43967 33780 31808 17796
1966615,21137 43967 49481 32553 44375 1940 4138 6350 16221 47366 40261 16920 26709 45061 29615 20955 10 27510 30824 15976 33651 16234 40600 39758 10054 3318 6016 27179 34222 21351 6155 7999 8572 25830 15860 7243 49492 23623 36446 27472 33343 10022 26006 115 13783 15612 22650
2359832,
524825,24852 47626
393754,24852 25513 1090
2228764,
655450,
655902,35140 13027 21603
524831,
1311264,24852 31981 29363 42834 31423 48116
2884132,
2140934,24852 45537 20995 49478 27845 11130 36011 44479 33845 13158 38838 9424 41793 40366
2381233,24852 42342 45066 47766 21903 42265 25659 48679 26209 31343 24838 42736 30305 47626 28204 25588 23579 29987 32020 11182 45681 22151 17484 17789 25340 24764 39971 47780 36189 12638 322 35361
1966634,40332
655915,
2097708,
480690,13176 5450 24852 27344 30489 39877 42356 21137 21903 42265 43961 49683 40706 26209 30391 42828 24838 260 28928 5876 41950 34969 38689 39619 46802 35383 26384 36362 39180 30233 9058 31433 16616 33845 6046 34565 6774 3398 48229 48086 28132
116099,7948 38768
655919,
868558,
1638494,15290 41273 8274 12218 40376 12965
393782,43693 2234
1049145,196
2300121,
2359867,27966 45948 47209 23634
1704509,24852 47766 21903 21616 27521 28465 44632 7521 23909 20345
655934,
21941,25133 21903 40706 48679 31343 28928 27845 12341 33401 31205
1049152,24852 38400 20082 49520 6867 35591 30989 35989
1180225,24852 43295 46842 23909 17341 40028 35045 5422
3146308,196 44632 35221 26709
2439786,16797 24852 43352 41714 31981 3856 26456 20355 12978
2818145,49235 36554 42445 12935
1128309,
1049161,13176 8048 33768 19660
524875,21903 5068
524876,
2622029,24852 47209 27086 41950 18362 25495 15613 12212 34283 48681 24544
918094,24852 24838 35042 47366 40332
2797677,47209 30391 28985
1049169,
1311317,39928 47209 5479 17795 46755
131670,47702
2097753,
1049179,21903 40706 45007 8277 43295 34126 25513 24964 27325 5258 2086 8174 21057 19660 48848 13598 49058 16913 44035 5564 14074 26122 40295
604,24852 24838 44987 12099 31720 2962
1442397,44683 907
2228830,12640
2455467,13176 21137 24535 41319 39180
2675471,21903 24838 28985 2966 30233 1463
2753121,24852 29334 5077 10749 28427 45862 40897 36186 29697
1049188,19766
655973,13176 21513 8087 32648 42579 27392
2359912,
131689,
2877077,13176 24852 39928 24838 1940 35914 21927 9623 48015 9515 14999 3265 30707 1464 13516 37835 26386 12483
2622059,
1311340,46676 14233 5428 30169 9623 9047 49610 2722 9810 37774 45620
1150061,
1835630,196 38928 43154 8571
3146353,7781 24852 30489 46676 7503 4920 26209 47626 8174 20580 31915 48034 15008 25837 41329 8324 10724 45445
1704563,
3277428,
1704565,24852 47766 6182
262249,24852 10151 7930 9068 38799
787064,4799 42736 36772 7559 24489 5020 1999 17652 43249 10545
3015290,43295 28476
2228859,13176 19057 21616 30169 9346 10827
3277436,
3058453,21573 13575
2359937,21903 8277
1835651,
895766,
1573510,
873921,47766
1835656,42731
1835657,13176 24852 5876 38689
2359946,
3015307,24669 9120
124476,5479
393870,13176 7781 27966 26209 24838 17706 22031 12440 12863 8174 30353 36107 46820 28226 10070 23265 35727 36878 4216 35761 49112 14111
1573519,43693
1180306,16797 21137 43352 21292
787093,
3277462,18523 37646 47144 5353
174873,13176 22963 47766 26209 38159 27086 49680 28851
2491033,13176 14084 19057 24852 21137 21903 11520 651 10132 39409 260 37220 38689 21267 39180 8012 43122 14650 29370 10761 33120 36717 38439 15351
2228890,27845 3481 5959
3146395,32478
27937,30489 21137 260 27845 29307 14651 14633 33279 2611 19370
2491040,24852 47141 432 19660 10613 49079
1966753,
918179,8021
787109,24852
2884262,9755
1317208,21903 40706 48679 28985 47626 23543
680,47977 30353 27275 30441
2228905,43352 12341 19691
1704618,33787 47626 10108
2544538,
3146416,25146 1700
2622129,
1704626,
3277492,4957 16797 24852 27966 30489 33754 37646 40571 47209 21137 22035 42265 8277 11520 33787 24799 44632 47912 5077 5134 14678 4605 10749 49191 19348 36011 40174 26131 2091 44765 1907 34249 2748 24834 45504 5550 30385
2272030,24852 39877 47209 21137 31717 27521 26209 39275 11782 34128 44359 38456 5876 21405 46667 45603 45123 26369 8174 43165 45302 34530 31915 30233 46820 35750 33120 36676 48935 5649 23484 9561 22594
3015350,196 14233 47877 24749 25844 8195
1442489,16486
656059,
2884284,19057 5077 10957 33819 43154 1940 4595 8920 33198 44533 1160 15945
2884285,196 40939
918206,21903
2883701,36216 1947 6586
918212,
1180357,49235 30489 47766 21616 26604 20119 8555 1463 13646 29370 9766 21872 46631 23565
2468641,13176 39877 47209 21616 34126 20383 48364 41950 36550 31040 5785 10243 40334 19660 39984 10070 6046 781 9739 6210 2670
1682210,49235 24852 45066 21616 45007 4920 39275 260 36011 10761 2716 38793
3146446,13176 7781 20574 21709 27344 30489 42356 47209 21137 42265 40706 11068 4920 4945 8277 45537 4799 17600 38159 260 26940 47626 15872 17948 28204 2452 7088 26751 6384 10749 14462 33043 23801 14814 1511 10603 17461 32578 34050 6740 46584 30442 40519 27695 44765 36085 10761 38313 29398 10006 5130 33540 28132 10528
2884303,46277
787152,33368 36792 5902
2884308,10326 13176 21137 23423 33768 3265 24135 37980 30558
656085,13176 7781 22825 27966 28918 21137 21903 43961 39275 24838 22935 32655 2966 37067 5479 2855 44533 25640 36011 1463 24009 1935 27113
2041744,13176 19057 27966 47209 21137 31683 26790 36772 37718 30949 40659
3408600,10125
3271623,24852 26209
2884315,
2622172,13176 19057 22825 39928 47209 21137 22035 48679 11520 24838 17706 5876 5077 24561 46906 11576 3599 7412 19706 10369 17027 2368
1311453,
2304491,17122 16797 24852 38739 17008 43772 32689 43928 26172 46107 12779 49520 3631 31981 11488 26665 32403 37255
2753251,41787 24852 43295 47626 44142 27012 34234 4605 11233 32955 38996 32727 12253 8153 36685 32331 12980 32605 48808 32315 46823 21449 9463 27581 23700
1049317,22963 24852 36735 47766 42265 49683 45007 41220 46979 28204 38689 43928 39619 35108 20309 26201 17949 42495
655484,
1049322,24852 37646 46676
1311468,47766 48205 19977 16489 582
3277549,48283 29987 19821 38374 13592
2293885,2643
3408626,19660 38453
1463763,23777
393973,5450 24852 45190 46088 37923 30850 1160 37817 34487 29313 36716
758,651 19660
3015415,13176 5212 20574 22474 27966 32139 37646 39928 47209 21137 8277 26790 13083 18465 5876 5077 24561 15902 11193 21513 28862 1158 19348 31040 2825 45570 17830 28226 31100 26177 44728 46064 39430 5550 14858 16570 19376 48007 42735 33320
656120,27845
525050,27086 14766 16290 32478 37103 432 10 2962 11421 12807 25069 29454 43005 233 21933 48822
3015419,
2491132,33198 19691 26883 5438 12953
1289002,
787198,27966 1194 19488 29112 24891 27954 7790
1442560,13176 21137 44632 5785
2228993,24852 47766 21903 49683 39275 47788 3481 10749 14161 24221 21543 17123 27227 31611
1442563,13176 19057 21137 5785 25640 30233 39475 365 10851
3408645,24852 28427 16234 14645
349655,43693 28862
1872405,28928
3342466,27521 34243 17038 45603 22933 502
3408654,
2075437,24852 21137 47788 3526
1966864,24852 48871
2512344,35951 24852 24561 6948 24841 10761 31504 5918 1099 29660 46992 1443
2884370,7521 25718 25305 48857 4097 5022 9561
3146515,
3221873,
1660377,37067 20082 14218
1966875,
3408668,42342 37947 35547 26317 17878
2753312,24852 8021 38293 5479 30233 7156 46820
656162,30489 47144 21903 9076 28849 20842
3342470,
918310,24852 30489 37646 47209 27521 26790 44632 35221 24964 27845 45063 49383 36011 30233 24841 25753 365 35628 1896 10385 39947
940287,
2753321,13176 19057 21137 5077 28597 329 19820 5114 6300
1763293,13176 39928 21137 21903 41950 49517 46505 31869
2097963,19057 47209 21137 25146 45007 48679 17794 41220 44359 18465 22935 24964 27845 3481 40174 30720 43122 39475 23685 15741
2097964,27086 18683 36603
262958,24852
1180463,44157
2753329,
2753332,
2229045,8138 10305 37646 8277 26209 5876 26165 35939 33352 7049 49664
3408696,23734 16696 29487 1117 537 12726
2622265,24852 45066 21137 27845 35688 25588 15604 22007 37029 22025 8006 9159 6104 7649 12980 5550 2716 27315
2097978,24852 49683 26604 24838 43295 35688 23579 28553 25272 32303 42719 22227 47990 29837 28054 9162 47196
1049404,49235 39877 47209 27521 26209 44359 5876 21386 33198 26165 4472 5428 19660 8859 43001 36714 46770
2229054,47766
3015488,24852 28204 13626
851109,5818 5077 13966 14147 12683 16953 32478 3990 29487 37524 30827 34027 37229 1700 27313 44042 10145 19368 40354 21879 48071 6166 21635 31030 23445 11163 11581
525122,41787 16797 17758 24852 4210 28204 8153 28092 8474 25896
262979,35951 24852 21137 42265 39275 38159 26369 6104 15649 8859 22089 17871 39411
394052,9547
2730806,3676 1993
2360134,
918343,35458 29064 33852 37553 41314
2753354,35419 44375 27275
1354551,24852 45603 19660 17304
262990,10258 38928 41400 13424 8571 7131 35269 39332 30946 44517
1442639,48142
1747768,27966 47209 22035 42265 13870 10863 27325 18362 37067 32689 3957 21841 25640 17807 29447 31635 48220 16083 14853 47873 32935 12146 34476 41519 36396
1835860,
1558162,13176 19057 21137 22935 15872 49131 38739 33198 16759 5785 11408 29487 42460 46575 37876 28021 5279 5321
2229080,
2774500,14084 16797 24852 27966 45066 21137 8518 31717 47626 33731 16759 35503 44883
525150,24852 47766 29871 24489 46802 44570 25670 5463 26084
2622303,42736 27845 33000 21497
2098018,
1966947,21137 9405 25949 34050 20583 43122 2962
1966948,19894 5479 3457
1704807,17149 19660 8710 27695 10106 14074
787306,19057 47209 47526 49683 11068 9839 47626 38456 24830 8859 36640
1422830,
1704814,27344
2992957,23291 33106
918384,
2905576,
1180530,13176 49235 18523 19057 24852 32792 22035 5194 27845 93 47977 8866 10666 5463 2480 1463 46616 46226 17281 48967 9122 47783 8324 1947 30440 25295 31444 37531 38447 32112 6494 33387 18264 17834
2031763,13176 41787 24852 47766 21137 36130 28204 33819 37940 6128 25985 8204 33129 30720 37158 23888 30340 30849 18564 25837 30183 15374 34915 933
2753399,196 19660
1311608,
2622329,47766 21137 25146 8424 30391 24184 5077 33198 23341 42460 36598 8620 29938 10732
3015546,7781 9124 24852 33754 13870 8277 23543 22760 24218
1966973,21709 27521 9839 47626 27470
3277695,16797 45948 6069 6104 29824 35417
2491264,17122 43352 8048 30827 6615 31759 8571 4724 8803 13634
1049473,
2971115,41131 17859 36316 47977 35430 10690 43892 13944
1704837,
2360200,5769 31759 8571
1442697,25890 36591 6383 6318
2622346,19006 31487 8736 36929 22993 42972 18502
393367,33198 28576
131980,30638 22313 17469
1485634,21903 39275 38277 9421 1639
2876249,6615 14488
1049492,13176 37646 25466
1704853,24561
1049497,49235 18818 24100
2491291,13176 24852 49683 8424 17794 19003 23360 24622 34234 44799 36736 48205 4605 19514 23909 47734 19348 22395 40545 38768 31553 1924 26477 45862 16305 19624 31564 12087 8370 30845 6317 19767 18201 11869 4377 5884 30191 27570 48762 15100 38579 20286 18359 769 25554 15777 20297 12665 27439 1157 21201 29714 33645 4450 37657
3145882,13176 27966 3765 30233 13944
695706,24852 45066 49273 49683 11865 28289 15290 43772 28204 5699 432 3358 38028 13807 39032 46402 26510 19977 48022 24920 2575 27841 6497
1573794,24184 695 176 44384 43063 28856
525221,
1200274,24852 47766 24024
3015591,
656296,36198 19348 48287 43050 8007 18994
1048732,13176 27966 37646 47209 8021 21903 21616 31717 39275 28985 26940 37385 21405 46667 24964 26452 8615 14233 30776 39097 3957 42701 11005 32578 26317 47652 2228 2825 29662 35503 22504 14057 16995 4357 9337 43774 5115 26911 31181 30994 43484 12581 28250 8594 9881 3840 13720 3740 43582
2337607,49235 4957 5322 8138 18523 22559 24954 33957 45613 47144 21573 18926 43721 28199 21019 10957 46842 16987 6069 24117 43713 35458 23909 5699 34217 45221 5785 25952 6750 33129 9623 1545 18352 17341 34862 21293 19448 47877 6889 18128 9743 22882 20876 24631 47990 22481 26352 28748 40817 25804 28458 32842 5771 42834 11497 14668 10181 33357 39139 5422 13230 4697 14183 47322 40386 352 27143 38416 46393 4306 19846 36360 44855 13040 35216 28139 46789
1835948,40571 49683 47087 24518 29672 1377 30219 26629 31612 47357 3661 33682 13884 25153 35101 39644 33979 49549
525229,49683 35042 34969 26497 47435
3015598,13176
1607012,196 40199
1835952,24852 27845 14371
263089,24852 24954 9387 43352 15290 38456 41950 28204 14999 10613 43565 6052 49610
1835956,24852 47766 21137 21903 43961 8277 2732 20995 5077 18027 44560 45 15995
656310,
2360251,13176 7781 13351 19156 24852 27966 33754 18370 21137 21903 26604 31717 42828 18926 34448 12384 5077 49478 20114 28745 29487 3599 20169 42719 46313 781 29077 13560 46202 26100
3408828,41787 16797 24852 30489 39928 11777 26604 40706 11068 260 28199 28204 32655 39097 5337 8174 45679 41588 3339 42508 1240 31093
2075466,
2229182,13176 24838 38444 45190 45123 46088 45961 15424 38511 29315 18747 29723
1311680,
656321,47877 45215
2360259,45948 21137 18288 45437 14881 2805 39194 20009
2884551,13517
656330,27086 27845
2360269,27086 49141 36011 39581 49628 22151 2962 13834 4879 45761
1442767,
1332728,24852 25706
3277780,35951 45948 47209 11520 35221 45633 36144 27509 21295 11512 28058 11945 18689 7175 19448 19706 36737 27949
1573847,22825 27966 40706 30391 5876 27086 8174
918488,17122 16797 17758 24852 4920 3696 36086 23909 26505 27395 35752 1408 17949 28829 3646
312504,41787 24852 24838 47626
2753498,
2884571,5450 24852 43352 4210 40310 43632 29615 11456 24053 10429 16647 13303
2905594,5212 21709 16965 11777 20632 44910 47626 24799 28465 44632 44987 47672 27086 35221 14917 20119 42244 37538 11712 45747 2361 37807 30007 12362 36939
1311710,13176 47209 4920 35221 8758 33000 47231
1049567,21709 13249 36691 48762 13944 26300 7585 26224 25900
1836003,
2753508,
2098149,24852 41844 49247 30849 22736 35417
764753,
2229224,
2446844,
3015660,8277 11520 8174 46616 30111
2884589,1940 40332
656366,13176 7781 651 11136 22337 21333 48205 34969 39408 2132 30909 33129 14999 20463 16234 12218 20073 36988 1612 47317
3408880,196 24852 4817 9901 45036 44042 12727 38826 22245
1311729,33198 32141
525299,18523 39928 21137 49683 25146 33787 13083 47626 1940
2229238,13176 35951 47766 45007 30391 28985 36865 41220 47626 44632 22935 34243 45123 3382 26369 14211 18234 18811 26856 7175 34044 5115 29013 4102 27262 26047 47376 32588 9517 48620
1573879,
2753528,
2622458,
